CommonName,Scientific Name,AOUcode,Habitat,seismic50mCNT,seismic100mCNT,seismicUnlCNT,pipeline50mCNT,pipeline100mCNT,pipelineUnlCNT,wellpad50mCNT,wellpad100mCNT,wellpadUnlCNT,seismic50m,seismic100m,seismicUnl,pipeline50m,pipeline100m,pipelineUnl,wellpad50m,wellpad100m,wellpadUnl
Alder Flycatcher,Empidonax alnorum,ALFL,SHR,14/18,34/62,47/86,0/0,3/0,6/1,14/4,25/7,25/7,1.22 (0.61-2.41),1.30 (0.85-1.99),1.26 (0.85-1.85),2.10 (0.80-5.51),2.79 (1.62-4.78),2.26 (1.41-3.62),2.13 (1.12-4.04),2.14 (1.41-3.27),2.09 (1.39-3.15)
American Redstart,Setophaga ruticilla,AMRE,SHR,65/51,106/85,110/91,5/14,6/28,6/31,11/25,27/30,27/30,1.00 (0.65-1.53),1.20 (0.85-1.69),1.29 (0.92-1.81),1.09 (0.56-2.12),0.86 (0.51-1.46),0.79 (0.47-1.33),0.40 (0.21-0.74),0.85 (0.55-1.31),0.78 (0.51-1.22)
American Robin,Turdus migratorius,AMRO,PARK,8/20,23/44,30/75,25/6,32/12,35/12,35/13,53/26,53/27,1.30 (0.73-2.32),1.27 (0.85-1.89),1.09 (0.75-1.58),4.57 (2.76-7.56),3.79 (2.63-5.46),3.14 (2.20-4.48),2.11 (1.35-3.32),2.08 (1.50-2.90),1.94 (1.41-2.67)
American Three-toed Woodpecker,Picoides dorsalis,ATTW,BURN,12/5,21/16,50/23,0/1,0/1,0/1,1/0,1/0,1/0,3.18 (1.31-7.76),1.21 (0.69-2.13),1.42 (0.91-2.21),,,,1.58 (0.14-17.85),0.50 (0.07-3.43),0.53 (0.08-3.73)
Bay-breasted Warbler,Setophaga castanea,BBWA,OLD,40/96,56/142,58/143,5/20,7/32,7/33,1/0,1/1,1/1,1.52 (1.02-2.28),1.46 (1.03-2.06),1.40 (0.99-1.99),2.65 (1.63-4.30),2.05 (1.40-3.01),1.86 (1.29-2.69),0.55 (0.23-1.32),1.05 (0.54-2.06),1.02 (0.52-1.98)
Black-and-white Warbler,Mniotilta varia,BAWW,SHR,32/32,50/50,50/50,23/18,35/34,37/40,3/10,6/11,6/11,1.54 (0.97-2.43),1.52 (1.00-2.31),1.54 (1.02-2.34),0.81 (0.38-1.73),0.61 (0.32-1.17),0.60 (0.31-1.14),0.65 (0.22-1.89),0.81 (0.34-1.92),0.82 (0.35-1.93)
Black-capped Chickadee,Poecile atricapillus,BCCH,ALL,17/24,24/38,24/39,5/5,7/6,7/6,10/13,19/14,19/14,1.40 (0.78-2.52),1.28 (0.80-2.04),1.23 (0.77-1.96),1.92 (0.82-4.50),2.57 (1.28-5.15),2.55 (1.27-5.11),1.68 (0.91-3.09),2.08 (1.25-3.46),2.07 (1.24-3.45)
Black-throated Green Warbler,Setophaga virens,BTNW,OLD,1/7,1/9,4/12,8/12,15/24,15/24,3/8,9/13,10/13,0.17 (0.03-0.99),0.15 (0.03-0.84),0.35 (0.13-0.90),1.44 (0.63-3.27),1.83 (1.01-3.32),1.77 (0.98-3.18),0.54 (0.18-1.64),1.08 (0.52-2.25),1.07 (0.54-2.15)
Blue-headed Vireo,Vireo solitarius,BHVI,OLD,7/9,18/21,23/26,7/16,9/21,10/23,5/14,14/16,15/16,0.86 (0.43-1.71),1.05 (0.65-0.170),1.07 (0.69-1.65),1.29 (0.66-2.54),1.27 (0.77-2.08),1.28 (0.79-2.06),0.35 (0.16-0.77),0.85 (0.52-1.39),0.88 (0.55-1.41)
Boreal Chickadee,Poecile hudsonicus,BOCH,OLD,101/40,108/50,109/50,3/16,3/18,3/18,0/3,1/3,1/3,1.63 (1.21-2.22),1.45 (1.09-1.92),1.45 (1.09-1.93),0.59 (0.29-1.19),0.67 (0.36-1.24),0.66 (0.35-1.24),0.13 (0.02-0.75),0.36 (0.12-1.03),0.35 (0.12-1.02)
Brown Creeper,Certhia americana,BRCR,OLD,0/5,0/5,0/10,1/7,1/7,1/7,3/7,5/7,5/7,0.98 (0.28-3.42),1.19 (0.40-3.54),1.37 (0.44-4.31),0.48 (0.13-1.76),0.70 (0.23-2.08),0.70 (0.23-2.11),0.40 (0.12-1.28),0.69 (0.26-1.83),0.62 (0.23-1.68)
Brown-headed Cowbird,Molothrus ater,BHCO,PARK,4/1,5/3,5/7,0/0,0/0,0/0,17/6,21/7,24/7,3.55 (0.52-24.19),1.83 (0.54-6.18),1.03 (0.37-2.90),,,,3.14 (1.32-7.44),3.41 (1.58-7.37),3.98 (1.91-8.27)
Canada Warbler,Cardellina canadensis,CAWA,OLD,13/26,25/41,28/44,0/1,1/2,1/4,0/3,1/4,2/4,0.50 (0.08-3.04),0.61 (0.17-2.22),0.57 (0.16-2.04),2.03 (1.01-4.08),2.14 (1.19-3.86),1.89 (1.06-3.36),0.96 (0.29-3.20),1.41 (0.57-3.53),1.91 (0.79-4.59)
Cape May Warbler,Setophaga tigrina,CMWA,OLD,3/13,6/13,7/14,0/3,0/4,0/4,0/0,1/0,1/0,1.09 (0.57-2.10),1.11 (0.61-2.03),1.14 (0.63-2.05),0.59 (0.16-2.13),0.59 (0.16-2.09),0.57 (0.16-2.06),0.85 (0.33-2.21),1.17 (0.51-2.66),1.18 (0.52-2.69)
Cedar Waxwing,Bombycilla cedrorum,CEDW,PARK,4/9,6/13,6/13,1/4,1/7,1/7,7/2,10/6,10/6,0.46 (0.20-1.07),0.48 (0.23-1.01),0.49 (0.23-1.03),0.69 (0.21-2.20),0.56 (0.21-1.46),0.87 (0.38-2.01),1.35 (0.56-3.26),0.85 (0.40-1.81),0.82 (0.39-1.74)
Chipping Sparrow,Spizella passerina,CHSP,ALL,211/167,463/363,564/455,66/42,99/83,105/89,31/18,57/25,58/25,1.19 (1.01-1.41),1.22 (1.08-1.38),1.18 (1.06-1.32),2.01 (1.59-2.55),1.71 (1.42-2.06),1.65 (1.38-1.97),1.03 (0.76-1.41),1.34 (1.07-1.68),1.29 (1.03-1.61)
Clay-colored Sparrow,Spizella pallida,CCSP,SHR,3/2,6/4,7/6,2/1,2/1,2/1,18/2,21/2,21/2,0.57 (0.13-2.46),1.10 (0.33-3.62),1.07 (0.38-3.00),10.57 (2.96-37.76),23.15 (7.25-73.95),18.54 (6.49-52.96),4.30 (1.63-11.31),4.60 (1.84-11.49),3.71 (1.61-8.53)
Common Raven,Corvus corax,CORA,OLD,3/6,11/53,43/98,0/1,1/3,3/19,3/1,13/10,18/11,2.16 (0.63-7.45),0.33 (0.19-0.55),0.49 (0.36-0.57),6.07 (1.06-34.96),2.53 (1.01-6.35),0.74 (0.41-1.33),1.49 (0.36-6.07),0.84 (0.44-1.63),0.83 (0.50-1.38)
Common Yellowthroat,Geothlypis trichas,COYE,AQU,2/1,5/3,8/7,1/0,1/0,1/0,3/3,11/6,11/6,0.71 (0.29-1.75),0.72 (0.41-1.26),0.80 (0.47-1.37),1.10 (0.38-3.19),0.72 (0.34-1.55),1.11 (0.54-2.28),0.86 (0.37-1.98),0.87 (0.52-1.44),1.00 (0.60-1.64)
Connecticut Warbler,Oporornis agilis,COWA,ALL,7/5,11/9,16/16,2/2,6/4,9/7,4/9,12/12,12/12,1.42 (0.67-3.00),1.12 (0.61-2.08),0.94 (0.55-1.60),1.90 (0.59-6.09),2.57 (1.08-6.14),2.04 (0.94-4.43),0.84 (0.34-2.03),1.39 (0.72-2.70),1.21 (0.63-2.35)
Dark-eyed Junco,Junco hyemalis,DEJU,ALL,201/71,293/151,329/190,23/27,28/52,28/54,5/3,7/4,7/5,1.62 (1.32-2.00),1.29 (1.10-1.52),1.13 (0.98-1.31),1.95 (1.41-2.70),1.33 (1.02-1.73),1.30 (1.01-1.68),1.74 (1.15-2.62),2.10 (1.56-2.81),2.03 (1.53-2.69)
Fox Sparrow,Passerella iliaca,FOSP,SHR,5/3,24/17,40/31,0/0,0/0,0/0,2/1,3/1,3/1,1.70 (0.43-6.79),0.98 (0.45-2.13),0.87 (0.47-1.61),254 (0.42-150000),2.25 (0.29-17.46),0.48 (0.08-2.88),1.61 (0.20-12.66),2.36 (0.60-9.17),0.85 (0.29-2.44)
Golden-crowned Kinglet,Regulus satrapa,GCKI,OLD,6/17,11/18,11/19,11/35,11/36,11/36,0/0,0/0,0/0,0.54 (0.21-1.39),1.02 (0.45-2.34),1.00 (0.44-2.24),1.01 (0.56-1.85),0.76 (0.42-1.36),0.77 (0.43-1.38),,,
Gray Jay,Perisoreus canadensis,GRJA,OLD,110/47,196/102,204/112,24/23,38/38,42/45,2/6,12/11,12/11,1.58 (1.26-2.00),1.49 (1.25-1.78),1.41 (1.19-1.68),0.95 (0.64-1.40),0.98 (0.74-1.30),1.02 (0.78-1.34),0.55 (0.33-0.93),0.96 (0.69-1.32),0.90 (0.65-1.23)
Greater Yellowlegs,Tringa melanoleuca,GRYE,AQU,0/0,4/0,7/0,0/0,0/0,0/0,0/0,0/0,0/0,,0.86 (0.36-2.04),0.90 (0.46-1.74),2.74 (0.50-15.00),0.82 (0.32-2.11),0.84 (0.39-1.80),,0.99 (0.41-2.36),1.29 (0.68-2.44)
Hairy Woodpecker,Picoides villosus,HAWO,OLD,8/6,14/11,15/12,0/0,1/0,1/0,0/7,7/7,7/7,8.24 (2.69-25.22),5.91 (2.46-14.23),6.77 (2.87-15.97),,5.71 (1.22-26.75),6.96 (1.48-32.72),,1.08 (0.45-2.62),1.08 (0.45-2.60)
Hermit Thrush,Catharus guttatus,HETH,ALL,51/36,161/109,335/257,3/9,20/8,15/39,3/7,31/22,35/24,1.11 (0.80-1.54),1.16 (0.96-1.42),1.06 (0.92-1.23),1.02 (0.58-1.79),1.07 (0.77-1.49),0.78 (0.57-1.06),0.34 (0.16-0.73),1.09 (0.80-1.48),1.00 (0.75-1.32)
