Item/Point,Version anglaise,Version française,,,,,,,,,,,,,,,,,,
Data File Name / Nom du fichier de données,Cause-Effect-Biodiversity-Monitoring-Landbirds-2011-13_SiteSurveyInfo.csv,Cause-Effect-Biodiversity-Monitoring-Landbirds-2011-13_SiteSurveyInfo.csv,,,,,,,,,,,,,,,,,,
Date File Generated / Date de fichier généré,03/07/2012,03/07/2012,,,,,,,,,,,,,,,,,,
Context Note / Note contextuelle,"Cause-Effect Monitoring Data: Dataset 1 (2011–2013) on boreal bird species associated with 41 representative habitat types within the Athabasca, Peace River and Cold Lake oil sands areas are available. Data are available for 44 873 individual birds representing 142 species from 3 685 independent sites sampled using point count surveys. Uncommon and rare habitat types were surveyed at higher sampling intensity. This activity monitors how birds respond to habitat and disturbance. These data contribute to: a.improving the design of monitoring programs; b.explaining observed trends in populations (why bird populations are increasing or decreasing); c.predicting population sizes within the oil sands area; and d.assessing the individual, additive and cumulative effects of oil sands and other resource development on boreal birds.","Données de surveillance des causes et des effets: L’ensemble de données 1 (2011-2013) sur les espèces d’oiseaux boréales associées à 41 types d’habitats représentatifs dans les zones de sables bitumineux des régions de l’Athabasca, de la rivière de la Paix et du lac Cold est disponible. Des données sont disponibles pour 44 873 oiseaux particuliers représentant 142 espèces provenant de 3685 sites d’échantillonnage indépendants qui utilisent des sondages de dénombrement ponctuel. Des types d’habitats non communs et rares ont été sondés à une plus grande intensité d’échantillonnage. Cette activité surveille la façon dont les oiseaux réagissent à leur habitat et aux perturbations. Ces données contribuent à : a.améliorer les programmes de surveillance; b.expliquer les tendances de population observées (les raisons qui expliquent l’augmentation ou la diminution des populations); c.prédire la taille des populations à l’intérieur de la zone des sables bitumineux; et d.évaluer les effets individuels, additifs et cumulatifs de l’exploitation des sables bitumineux et d’autres développements des ressources sur les oiseaux boréaux.",,,,,,,,,,,,,,,,,,
Organization Name / Nom de l’organisme,Environment and Climate Change Canada,Environnement et Changement climatique Canada ,,,,,,,,,,,,,,,,,,
Organization Contact Information / Coor-données de l’organisation ,"200 Sacre-Coeur Blvd, Gatineau, Quebec,  K1A 0H3","200, boul. Sacré Coeur, Gatineau (Québec)  K1A 0H3",,,,,,,,,,,,,,,,,,
Email / Courriel,enviroinfo@canada.ca,enviroinfo@canada.ca,,,,,,,,,,,,,,,,,,
Program / Programme,"Joint Canada-Alberta Implementation Plan for Oil Sands Monitoring (JOSM),Biodiversity and Land Disturbance Implementation Plan Activities – Cause-Effect Monitoring - Migratory Landbirds (http://www.publications.gc.ca/site/eng/436043/publication.html)","Plan de mise en œuvre conjoint Canada-Alberta pour la surveillance visant les sables bitumineux (JOSM), Activités du plan de mise en œuvre de la sur
veillance de la biodiversité et des perturbations du terrain – Surveillance des causes et des effets  - oiseaux terrestres (http://www.publications.gc.ca/site/eng/436043/publication.html)",,,,,,,,,,,,,,,,,,
Principal Investigator / Chercheur Principal,Lisa Mahon,,,,,,,,,,,,,,,,,,,
Data Steward / Intendant des données,Judith Toms,,,,,,,,,,,,,,,,,,,
Data Steward Affiliation / Affiliation d'intendant des données,"Environment and Climate Change Canada, Canadian Wildlife Service ","Environnement et Changement climatique Canada, Service canadien de la faune",,,,,,,,,,,,,,,,,,
Open Government Licence-Canada / Licence du gouver-nement ouvert – Canada,http://open.canada.ca/en/open-government-licence-canada,http://ouvert.canada.ca/fr/licence-du-gouvernement-ouvert-canada,,,,,,,,,,,,,,,,,,
Attribution / ,"Environment and Climate Change Canada, [Year Accessed].  Cause-Effect-Biodiversity-Monitoring-Landbirds-2011-13_SiteSurveyInfo.csv, generated 2012-03-07. Accessed on [Year-Month-Day] from [Name and URL of the data portal].","Environnement et Changement climatique Canada, [année de la consultation]. Cause-Effect-Biodiversity-Monitoring-Landbirds-2011-13_SiteSurveyInfo.csv, générée 2012-03-07. Téléchargé le [année-mois-jour] depuis [Nom et URL du portail de données].",,,,,,,,,,,,,,,,,,
Acknowledgement statement / Énoncé de reconnaissance,The author(s) acknowledge Environment and Climate Change Canada and for the provision of [type of] data accessed from [Name and URL of the data portal].  [If applicable:  The original data/data files were modified and redistributed and/or used to produce derivative work as follows: …enter details…].    ,"Le ou les auteur(s) reconnaissent Environnement et Changement climatique Canada pour la prestation du [type de] données consultées depuis [Nom et URL du portail de données]. [S’il y a lieu : les données/fichiers de données d’origine ont été modifiés, redistribués et/ou utilisés pour des travaux dérivés, à savoir : …précisez…].    ",,,,,,,,,,,,,,,,,,
Quality Assurance Level and Disclaimer ,"Level 1, defined as a complete data set of specified quality that consists of research products subjected to quality assurance and quality control checks and data management procedures.","Définition du niveau 1 : ensemble de données complet d’une qualité précisée, qui regroupe des produits de recherche soumis à des vérifications d’assurance et de contrôle de la qualité et à des procédures de gestion des données.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,SiteID,StationID,ObserverID,TimeStart,SampleID,VisitID,WindStart,PrecipStart,TempStart,CloudStart,WindEnd,PrecipEnd,TempEnd,CloudEnd,TimeFin,Noise,OvernightRain,Notes,DataEntryPersID,DateEntered
22/06/2013,CL10102,CL10102-1,82,5:12:00 AM,n_a,1,0,0,8,0,0,0,7,0,5:22:00 AM,1,N,NOISE: HWY,82,31/07/2013
22/06/2013,CL10106,CL10106-1,48,6:29:00 AM,n_a,1,0,0,4,3,0,0,4,3,6:39:00 AM,0,N,,48,31/07/2013
22/06/2013,CL10108,CL10108-1,48,5:11:00 AM,n_a,1,0,0,4,0,0,0,4,0,5:21:00 AM,0,N,,48,31/07/2013
22/06/2013,CL10109,CL10109-1,82,5:52:00 AM,n_a,1,0,0,8,0,0,0,7,0,6:02:00 AM,1,N,NOISE: BOAT,82,31/07/2013
22/06/2013,CL10111,CL10111-1,48,7:55:00 AM,n_a,1,0,0,9,3,0,0,9,3,8:05:00 AM,0,N,,48,31/07/2013
22/06/2013,CL10112,CL10112-1,48,7:16:00 AM,n_a,1,1,2,8,3,1,0,8,3,7:26:00 AM,0,N,Precipiation: occaisional drops of rain,48,31/07/2013
22/06/2013,CL10114,CL10114-1,48,9:29:00 AM,n_a,1,2,0,13,0,2,0,14,0,9:39:00 AM,1,N,Noise: overhead plane,48,31/07/2013
22/06/2013,CL10117,CL10117-1,82,8:33:00 AM,n_a,1,0,0,11,2,0,0,10,2,8:43:00 AM,0,N,,82,31/07/2013
22/06/2013,CL10118,CL10118-1,82,6:37:00 AM,n_a,1,0,0,8,3,0,0,7,3,6:47:00 AM,0,N,,82,31/07/2013
22/06/2013,CL10119,CL10119-1,82,9:05:00 AM,n_a,1,0,0,13,1,2,0,13,1,9:15:00 AM,1,N,WT DEER STAMPING FEET AND SNEEZING….,82,31/07/2013
22/06/2013,CL10120,CL10120-1,82,7:58:00 AM,n_a,1,0,0,9,2,0,2,9,2,8:08:00 AM,0,N,,82,31/07/2013
22/06/2013,CL10121,CL10121-1,82,9:34:00 AM,n_a,1,2,0,14,1,2,0,13,1,9:44:00 AM,1,N,,82,31/07/2013
22/06/2013,CL10122,CL10122-1,82,7:19:00 AM,n_a,1,3,1,7,3,3,0,8,3,7:29:00 AM,1,N,NOISE: BOAT,82,31/07/2013
24/06/2013,CL10170,CL10170-1,48,5:00:00 AM,n_a,1,0,0,7,2,0,0,7,1,5:10:00 AM,0,Y,O/N Rain: previous late-afternoon. Water dripping from trees,48,31/07/2013
24/06/2013,CL10171,CL10171-1,48,5:44:00 AM,n_a,1,0,0,7,0,0,0,7,0,5:54:00 AM,0,Y,"BAWW sang from NW quadrant, 0-50m, just after count ended. Another, counter-singing YWAR sang from SW quadrant, 0-50m, just after count ended.",48,31/07/2013
24/06/2013,CL10172,CL10172-1,48,6:19:00 AM,n_a,1,0,0,7,2,0,0,6,2,6:29:00 AM,0,Y,O/N Rain: previous late-afternoon.,48,31/07/2013
24/06/2013,CL10173,CL10173-1,48,7:09:00 AM,n_a,1,0,0,8,2,0,0,8,3,7:19:00 AM,0,Y,"O/N Rain: previous late-afternoon. YRWA sang right after count ended (1-50m, SE quadrant). Forgot SM2 mics but confident on all auditory species IDs.",48,31/07/2013
24/06/2013,CL10174,CL10174-1,48,7:44:00 AM,n_a,1,0,0,9,1,0,0,9,1,7:54:00 AM,1,Y,"O/N Rain: previous late-afternoon. Noise: small aircraft in distance. Heard another avian surveyor ""yelling for bears"" in the distance.",48,31/07/2013
