Item/Point,Version anglaise,Version française,,,,,,,,,,,,,,,,,
Data File Name / Nom du fichier de données,Cause-Effect-Biodiversity-Monitoring-Landbirds-2011-13_Sites.csv,Cause-Effect-Biodiversity-Monitoring-Landbirds-2011-13_Sites.csv,,,,,,,,,,,,,,,,,
Date File Generated / Date de fichier généré,03/07/2012,03/07/2012,,,,,,,,,,,,,,,,,
Context Note / Note contextuelle,"Cause-Effect Monitoring Data: Dataset 1 (2011–2013) on boreal bird species associated with 41 representative habitat types within the Athabasca, Peace River and Cold Lake oil sands areas are available. Data are available for 44 873 individual birds representing 142 species from 3 685 independent sites sampled using point count surveys. Uncommon and rare habitat types were surveyed at higher sampling intensity. This activity monitors how birds respond to habitat and disturbance. These data contribute to: a.improving the design of monitoring programs; b.explaining observed trends in populations (why bird populations are increasing or decreasing); c.predicting population sizes within the oil sands area; and d.assessing the individual, additive and cumulative effects of oil sands and other resource development on boreal birds.","Données de surveillance des causes et des effets: L’ensemble de données 1 (2011-2013) sur les espèces d’oiseaux boréales associées à 41 types d’habitats représentatifs dans les zones de sables bitumineux des régions de l’Athabasca, de la rivière de la Paix et du lac Cold est disponible. Des données sont disponibles pour 44 873 oiseaux particuliers représentant 142 espèces provenant de 3685 sites d’échantillonnage indépendants qui utilisent des sondages de dénombrement ponctuel. Des types d’habitats non communs et rares ont été sondés à une plus grande intensité d’échantillonnage. Cette activité surveille la façon dont les oiseaux réagissent à leur habitat et aux perturbations. Ces données contribuent à : a.améliorer les programmes de surveillance; b.expliquer les tendances de population observées (les raisons qui expliquent l’augmentation ou la diminution des populations); c.prédire la taille des populations à l’intérieur de la zone des sables bitumineux; et d.évaluer les effets individuels, additifs et cumulatifs de l’exploitation des sables bitumineux et d’autres développements des ressources sur les oiseaux boréaux.",,,,,,,,,,,,,,,,,
Organization Name / Nom de l’organisme,Environment and Climate Change Canada,Environnement et Changement climatique Canada ,,,,,,,,,,,,,,,,,
Organization Contact Information / Coor-données de l’organisation ,"200 Sacre-Coeur Blvd, Gatineau, Quebec,  K1A 0H3","200, boul. Sacré Coeur, Gatineau (Québec)  K1A 0H3",,,,,,,,,,,,,,,,,
Email / Courriel,enviroinfo@canada.ca,enviroinfo@canada.ca,,,,,,,,,,,,,,,,,
Program / Programme,"Joint Canada-Alberta Implementation Plan for Oil Sands Monitoring (JOSM),Biodiversity and Land Disturbance Implementation Plan Activities – Cause-Effect Monitoring - Migratory Landbirds (http://www.publications.gc.ca/site/eng/436043/publication.html)","Plan de mise en œuvre conjoint Canada-Alberta pour la surveillance visant les sables bitumineux (JOSM), Activités du plan de mise en œuvre de la sur
veillance de la biodiversité et des perturbations du terrain – Surveillance des causes et des effets  - oiseaux terrestres (http://www.publications.gc.ca/site/eng/436043/publication.html)",,,,,,,,,,,,,,,,,
Principal Investigator / Chercheur Principal,Lisa Mahon,,,,,,,,,,,,,,,,,,
Data Steward / Intendant des données,Judith Toms,,,,,,,,,,,,,,,,,,
Data Steward Affiliation / Affiliation d'intendant des données,"Environment and Climate Change Canada, Canadian Wildlife Service ","Environnement et Changement climatique Canada, Service canadien de la faune",,,,,,,,,,,,,,,,,
Open Government Licence-Canada / Licence du gouver-nement ouvert – Canada,http://open.canada.ca/en/open-government-licence-canada,http://ouvert.canada.ca/fr/licence-du-gouvernement-ouvert-canada,,,,,,,,,,,,,,,,,
Attribution / ,"Environment and Climate Change Canada, [Year Accessed].  Cause-Effect-Biodiversity-Monitoring-Landbirds-2011-13_Sites.csv, generated 2012-03-07. Accessed on [Year-Month-Day] from [Name and URL of the data portal].","Environnement et Changement climatique Canada, [année de la consultation]. Cause-Effect-Biodiversity-Monitoring-Landbirds-2011-13_Sites.csv. Téléchargé le [année-mois-jour] depuis [Nom et URL du portail de données].",,,,,,,,,,,,,,,,,
Acknowledgement statement / Énoncé de reconnaissance,The author(s) acknowledge Environment and Climate Change Canada and for the provision of [type of] data accessed from [Name and URL of the data portal].  [If applicable:  The original data/data files were modified and redistributed and/or used to produce derivative work as follows: …enter details…].    ,"Le ou les auteur(s) reconnaissent Environnement et Changement climatique Canada pour la prestation du [type de] données consultées depuis [Nom et URL du portail de données]. [S’il y a lieu : les données/fichiers de données d’origine ont été modifiés, redistribués et/ou utilisés pour des travaux dérivés, à savoir : …précisez…].    ",,,,,,,,,,,,,,,,,
Quality Assurance Level and Disclaimer ,"Level 1, defined as a complete data set of specified quality that consists of research products subjected to quality assurance and quality control checks and data management procedures.","Définition du niveau 1 : ensemble de données complet d’une qualité précisée, qui regroupe des produits de recherche soumis à des vérifications d’assurance et de contrôle de la qualité et à des procédures de gestion des données.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
SiteID,SurveyArea,Datum,UTM?,Northing,Easting,Zone,Longitude,Latitude,CoordSource,FeatureType,ObserverID,GroundTruth,DateEst,Access,,,,,
CL10102,CL101,NAD83,No,n_a,n_a,n_a,-113.365131,55.191795,GIS,point,82,TRUE,22/06/2013,Road,,,,,
CL10106,CL101,NAD83,No,n_a,n_a,n_a,-113.363385,55.180497,GIS,point,48,TRUE,22/06/2013,Road,,,,,
CL10108,CL101,NAD83,No,n_a,n_a,n_a,-113.357921,55.181201,GIS,point,48,TRUE,22/06/2013,Road,,,,,
CL10109,CL101,NAD83,No,n_a,n_a,n_a,-113.354748,55.192239,GIS,point,82,TRUE,22/06/2013,Road,,,,,
CL10111,CL101,NAD83,No,n_a,n_a,n_a,-113.355518,55.173042,GIS,point,48,TRUE,22/06/2013,Road,,,,,
CL10112,CL101,NAD83,No,n_a,n_a,n_a,-113.353833,55.177355,GIS,point,48,TRUE,22/06/2013,Road,,,,,
CL10114,CL101,NAD83,No,n_a,n_a,n_a,-113.353233,55.163058,GIS,point,48,TRUE,22/06/2013,Road,,,,,
CL10117,CL101,NAD83,No,n_a,n_a,n_a,-113.345981,55.1824,GIS,point,82,TRUE,22/06/2013,Road,,,,,
CL10118,CL101,NAD83,No,n_a,n_a,n_a,-113.343395,55.191502,GIS,point,82,TRUE,22/06/2013,Road,,,,,
CL10119,CL101,NAD83,No,n_a,n_a,n_a,-113.343256,55.178475,GIS,point,82,TRUE,22/06/2013,Road,,,,,
CL10120,CL101,NAD83,No,n_a,n_a,n_a,-113.339926,55.18504,GIS,point,82,TRUE,22/06/2013,Road,,,,,
CL10121,CL101,NAD83,No,n_a,n_a,n_a,-113.342245,55.174185,GIS,point,82,TRUE,22/06/2013,Road,,,,,
CL10122,CL101,NAD83,No,n_a,n_a,n_a,-113.334439,55.190311,GIS,point,82,TRUE,22/06/2013,Road,,,,,
CL10170,CL101,NAD83,No,n_a,n_a,n_a,-113.32571,55.155609,GPS,point,48,TRUE,24/06/2013,Road,,,,,
CL10171,CL101,NAD83,No,n_a,n_a,n_a,-113.322727,55.159345,GPS,point,48,TRUE,24/06/2013,Road,,,,,
CL10172,CL101,NAD83,No,n_a,n_a,n_a,-113.32702,55.161831,GPS,point,48,TRUE,24/06/2013,Road,,,,,
CL10173,CL101,NAD83,No,n_a,n_a,n_a,-113.318875,55.165046,GPS,point,48,TRUE,24/06/2013,Road,,,,,
CL10174,CL101,NAD83,No,n_a,n_a,n_a,-113.317491,55.168084,GPS,point,48,TRUE,24/06/2013,Road,,,,,
CL10175,CL101,NAD83,No,n_a,n_a,n_a,-113.317806,55.171774,GPS,point,48,TRUE,24/06/2013,Road,,,,,
CL10176,CL101,NAD83,No,n_a,n_a,n_a,-113.323962,55.174826,GPS,point,48,TRUE,24/06/2013,Road,,,,,
CL10177,CL101,NAD83,No,n_a,n_a,n_a,-113.32383,55.177971,GPS,point,48,TRUE,24/06/2013,Road,,,,,
CL10180,CL101,NAD83,No,n_a,n_a,n_a,-113.316682,55.157463,GPS,point,82,TRUE,24/06/2013,Road,,,,,
CL10181,CL101,NAD83,No,n_a,n_a,n_a,-113.310922,55.159991,GPS,point,82,TRUE,24/06/2013,Road,,,,,
CL10182,CL101,NAD83,No,n_a,n_a,n_a,-113.317415,55.162418,GPS,point,82,TRUE,24/06/2013,Road,,,,,
CL10183,CL101,NAD83,No,n_a,n_a,n_a,-113.313481,55.16632,GPS,point,82,TRUE,24/06/2013,Road,,,,,
CL10184,CL101,NAD83,No,n_a,n_a,n_a,-113.308742,55.166974,GPS,point,82,TRUE,24/06/2013,Road,,,,,
CL10185,CL101,NAD83,No,n_a,n_a,n_a,-113.31315,55.170451,GPS,point,82,TRUE,24/06/2013,Road,,,,,
CL10186,CL101,NAD83,No,n_a,n_a,n_a,-113.313327,55.173691,GPS,point,82,TRUE,24/06/2013,Road,,,,,
CL10187,CL101,NAD83,No,n_a,n_a,n_a,-113.317579,55.177166,GPS,point,82,TRUE,24/06/2013,Road,,,,,
CL10188,CL101,NAD83,No,n_a,n_a,n_a,-113.318474,55.174571,GPS,point,82,TRUE,24/06/2013,Road,,,,,
CL10189,CL101,NAD83,No,n_a,n_a,n_a,-113.319806,55.180254,GPS,point,82,TRUE,24/06/2013,Road,,,,,
CL10190,CL101,NAD83,No,n_a,n_a,n_a,-113.361307,55.183156,GPS,point,48,TRUE,22/06/2013,Road,,,,,
CL10191,CL101,NAD83,No,n_a,n_a,n_a,-113.352416,55.170539,GPS,point,48,TRUE,22/06/2013,Road,,,,,
CL10192,CL101,NAD83,No,n_a,n_a,n_a,-113.351034,55.167508,MAP,point,48,TRUE,22/06/2013,Road,,,,,
CL10204,CL102,NAD83,No,n_a,n_a,n_a,-113.156174,55.253223,GIS,point,2,TRUE,27/05/2013,Road,,,,,
CL10209,CL102,NAD83,No,n_a,n_a,n_a,-113.149374,55.252605,GIS,point,2,TRUE,27/05/2013,Road,,,,,
CL10210,CL102,NAD83,No,n_a,n_a,n_a,-113.144179,55.244308,GIS,point,2,TRUE,27/05/2013,Road,,,,,
CL10214,CL102,NAD83,No,n_a,n_a,n_a,-113.142947,55.25265,GIS,point,2,TRUE,27/05/2013,Road,,,,,
CL10216,CL102,NAD83,No,n_a,n_a,n_a,-113.132281,55.247224,GIS,point,2,TRUE,27/05/2013,Road,,,,,
CL10218,CL102,NAD83,No,n_a,n_a,n_a,-113.133126,55.26379,GIS,point,2,TRUE,27/05/2013,Road,,,,,
CL10219,CL102,NAD83,No,n_a,n_a,n_a,-113.134088,55.266889,GIS,point,2,TRUE,27/05/2013,Road,,,,,
CL10220,CL102,NAD83,No,n_a,n_a,n_a,-113.130906,55.269376,GIS,point,2,TRUE,27/05/2013,Road,,,,,
CL10221,CL102,NAD83,No,n_a,n_a,n_a,-113.126737,55.260727,GIS,point,2,TRUE,27/05/2013,Road,,,,,
CL10222,CL102,NAD83,No,n_a,n_a,n_a,-113.123124,55.258296,GIS,point,2,TRUE,27/05/2013,Road,,,,,
CL10223,CL102,NAD83,No,n_a,n_a,n_a,-113.123416,55.268429,GIS,point,2,TRUE,27/05/2013,Road,,,,,
CL10224,CL102,NAD83,No,n_a,n_a,n_a,-113.121585,55.264531,GIS,point,2,TRUE,27/05/2013,Road,,,,,
CL10270,CL102,NAD83,No,n_a,n_a,n_a,-113.11799,55.251754,GPS,point,2,TRUE,30/06/2013,Road,,,,,
CL10271,CL102,NAD83,No,n_a,n_a,n_a,-113.114679,55.25521,GPS,point,2,TRUE,30/06/2013,Road,,,,,
CL10272,CL102,NAD83,No,n_a,n_a,n_a,-113.108969,55.25611,GPS,point,2,TRUE,30/06/2013,Road,,,,,
CL10273,CL102,NAD83,No,n_a,n_a,n_a,-113.112552,55.260212,GPS,point,2,TRUE,30/06/2013,Road,,,,,
CL10274,CL102,NAD83,No,n_a,n_a,n_a,-113.114291,55.263386,GPS,point,2,TRUE,30/06/2013,Road,,,,,
CL10275,CL102,NAD83,No,n_a,n_a,n_a,-113.108793,55.263121,GPS,point,2,TRUE,30/06/2013,Road,,,,,
CL10276,CL102,NAD83,No,n_a,n_a,n_a,-113.112458,55.268842,GPS,point,2,TRUE,30/06/2013,Road,,,,,
CL10277,CL102,NAD83,No,n_a,n_a,n_a,-113.108788,55.266537,GPS,point,2,TRUE,30/06/2013,Road,,,,,
CL10278,CL102,NAD83,No,n_a,n_a,n_a,-113.103393,55.260789,GPS,point,2,TRUE,30/06/2013,Road,,,,,
CL10279,CL102,NAD83,No,n_a,n_a,n_a,-113.098591,55.26575,GPS,point,2,TRUE,01/07/2013,Road,,,,,
