Item/Point,Version anglaise,Version française,,,,
Data File Name / Nom du fichier de données,Cause-Effect-Biodiversity-Monitoring-Landbirds-2014_DataDictionary.csv,Cause-Effect-Biodiversity-Monitoring-Landbirds-2014_DataDictionary.csv,,,,
Date File Generated / Date de fichier généré,03/07/2012,03/07/2012,,,,
Context Note / Note contextuelle,"Cause-Effect Monitoring Data: Dataset 2 (2014) on boreal bird species across a gradient of oil sands development–related disturbance (low to very high) within the Athabasca oil sands area is available. Data are available for 12 062 individual birds representing 141 species from 884 sample sites. Sample sites include both survey grids of 9 point count sites and matched pairs of point count sites (1 point count in pipeline, seismic line, wellsite or road, and 1 point count in adjacent undisturbed habitat). This activity monitors how birds respond to a gradient of oil sands–specific exploration, extraction and development activities at a regional scale.These data contribute to: a.improving the design of monitoring programs; b.explaining observed trends in populations (why bird populations are increasing or decreasing); c.predicting population sizes within the oil sands area; and d.assessing the individual, additive and cumulative effects of oil sands and other resource development on boreal birds.
","Données de surveillance des causes et des effets: L’ensemble de données 2 (2014) sur les espèces d’oiseaux boréales sur un gradient de perturbations lié à l’exploitation des sables bitumineux (de bas à très élevé) à l’intérieur de la zone des sables bitumineux de l’Athabasca est disponible. Des données sont disponibles pour 12 062 oiseaux particuliers représentant 141 espèces provenant de 884 sites d’échantillonnage. Les sites d’échantillonnage comprennent les deux grilles de neuf sites de dénombrement ponctuel et des paires appariées de sites de dénombrement ponctuel (un dénombrement ponctuel dans la zone du pipeline, de la ligne sismique, du chantier du forage ou de la route et un dénombrement ponctuel dans un habitat non perturbé adjacent). Cette activité surveille la façon dont les oiseaux réagissent à un gradient d’activités d’exploration, d’extraction et de développement propres aux sables bitumineux à l’échelle régionale. Ces données contribuent à : a.améliorer les programmes de surveillance; b.expliquer les tendances de population observées (les raisons qui expliquent l’augmentation ou la diminution des populations); c.prédire la taille des populations à l’intérieur de la zone des sables bitumineux; et d.évaluer les effets individuels, additifs et cumulatifs de l’exploitation des sables bitumineux et d’autres développements des ressources sur les oiseaux boréaux.",,,,
Organization Name / Nom de l’organisme,Environment and Climate Change Canada,Environnement et Changement climatique Canada ,,,,
Organization Contact Information / Coor-données de l’organisation ,"200 Sacre-Coeur Blvd, Gatineau, Quebec,  K1A 0H3","200, boul. Sacré Coeur, Gatineau (Québec)  K1A 0H3",,,,
Email / Courriel,enviroinfo@canada.ca,enviroinfo@canada.ca,,,,
Program / Programme,"Joint Canada-Alberta Implementation Plan for Oil Sands Monitoring (JOSM),Biodiversity and Land Disturbance Implementation Plan Activities – Cause-Effect Monitoring - Migratory Landbirds (http://www.publications.gc.ca/site/eng/436043/publication.html)","Plan de mise en œuvre conjoint Canada-Alberta pour la surveillance visant les sables bitumineux (JOSM), Activités du plan de mise en œuvre de la sur
veillance de la biodiversité et des perturbations du terrain – Surveillance des causes et des effets  - oiseaux terrestres (http://www.publications.gc.ca/site/eng/436043/publication.html)",,,,
Principal Investigator / Chercheur Principal,Lisa Mahon,,,,,
Data Steward / Intendant des données,Judith Toms,,,,,
Data Steward Affiliation / Affiliation d'intendant des données,"Environment and Climate Change Canada, Canadian Wildlife Service ","Environnement et Changement climatique Canada, Service canadien de la faune",,,,
Open Government Licence-Canada / Licence du gouver-nement ouvert – Canada,http://open.canada.ca/en/open-government-licence-canada,http://ouvert.canada.ca/fr/licence-du-gouvernement-ouvert-canada,,,,
Attribution / ,"Environment and Climate Change Canada, [Year Accessed].  Cause-Effect-Biodiversity-Monitoring-Landbirds-2014_DataDictionary.csv, generated 2012-03-07. Accessed on [Year-Month-Day] from [Name and URL of the data portal].","Environnement et Changement climatique Canada, [année de la consultation]. Cause-Effect-Biodiversity-Monitoring-Landbirds-2014_DataDictionary.csv, générée 2012-03-07. Téléchargé le [année-mois-jour] depuis [Nom et URL du portail de données].",,,,
Acknowledgement statement / Énoncé de reconnaissance,The author(s) acknowledge Environment and Climate Change Canada and Brion Energy for the provision of [type of] data accessed from [Name and URL of the data portal].  [If applicable:  The original data/data files were modified and redistributed and/or used to produce derivative work as follows: …enter details…].    ,"Le ou les auteur(s) reconnaissent Environnement et Changement climatique Canada et Brion Energy pour la prestation du [type de] données consultées depuis [Nom et URL du portail de données]. [S’il y a lieu : les données/fichiers de données d’origine ont été modifiés, redistribués et/ou utilisés pour des travaux dérivés, à savoir : …précisez…].    ",,,,
Quality Assurance Level and Disclaimer ,"Level 1, defined as a complete data set of specified quality that consists of research products subjected to quality assurance and quality control checks and data management procedures.","Définition du niveau 1 : ensemble de données complet d’une qualité précisée, qui regroupe des produits de recherche soumis à des vérifications d’assurance et de contrôle de la qualité et à des procédures de gestion des données.",,,,
,,,,,,
Module,Parameter/Paramètre,Code,Meaning_EN,Sens_FR,Definition_EN,Définition_FR
Sites,SiteID,,,,Unique ID 7-digit alphanumeric code for Point Count Site,Code unique alphanumérique à 7 caractères qui identifie le site du point d'écoute
Sites,Datum,NAD83,North American Datum 1983,NAD 83 - Système de référence géodésique de l'Amerique du Nord,Coordinates in NAD83 datum,Système de référence géodésique 
Sites,Northing,,,,Northing coordinates of site in NAD83 / Alberta 10-TM AEP Forest projection,"Coordonnées vers le nord du site, dans la projection NAD83 / Alberta 10-TM AEP"
Sites,Easting,,,,Easting coordinates of site in NAD83 / Alberta 10-TM AEP Forest projection,"Coordonnées vers l'est du site, dans la projection NAD83 / Alberta 10-TM AEP"
